,ndcg@1000,map@1000,precision@20
COM,0.017608724511743556,-0.0006641096632522409,0.043333333333333335
sa3,0.01349199741514287,0.005748138566076311,0.02166666666666664
AGG,-0.021260469710965124,-0.023673936842778853,-0.043333333333333335
cbnuSA2,0.07411029539038622,0.04669690489096422,0.15833333333333335
UWMSOIS8,0.00454606096224941,0.0006604490102872507,0.014999999999999847
SIBTMlit3,-0.01695145617749605,-0.01996841807143168,-0.08999999999999991
mRun2BslOth,-0.01751271489756684,-0.019608363042087906,-0.044999999999999984
ws,0.023052803355522733,0.02027827095260651,0.06166666666666659
mayonlppm3,-0.0017176140953903407,-0.005793515016049328,-0.025000000000000078
POZabsLGDGRn,0.007453750465514081,-0.0007955756140324705,-0.023333333333333373
UDInfoPMSA3,-0.008528205928844068,-0.011283824933962294,-0.018333333333333368
NOVAsa3,0.04135931520526426,0.02479110861417494,0.08000000000000002
UNTIIASY,-0.03778428190588984,-0.04680742415371031,-0.14666666666666667
abs,-0.03236701929569974,-0.040554155203282594,-0.10000000000000003
mRun3MRF,-0.026108110626827274,-0.02261452418170648,-0.07166666666666666
UTDHLTFF,-0.05148084277317655,-0.06373033412304568,-0.13499999999999995
SIBTMlit2,-0.017655972221709115,-0.019556142569159524,-0.09166666666666662
mugpubshould,0.018564449995508714,0.009708687006572625,-0.0050000000000000044
Textual,-0.01714329846288798,-0.010069597144483133,-0.026666666666666672
kkseabs3,0.03035772776157808,0.012858119345275405,0.08166666666666668
UWMSOIS7,-0.005100880649482498,-0.0035607987459488066,0.031666666666666676
GP16Medline,0.021925589044174992,0.011545167123467742,0.03333333333333334
UDInfoPMSA5,-0.005212117593712984,-0.012336404671941345,-0.018333333333333313
udelT1Gene,0.004803492628041306,0.004416524548002454,0.004999999999999949
cbnuSA1,-0.016552943415744426,-0.025609691526887163,-0.034999999999999976
UCASBASEa,-0.0007374986026774111,-0.017207635354742318,-0.0350000000000002
KISTI01,0.011054924886779172,0.0024697373810417256,0.02833333333333321
run1,-0.0122499304177206,-0.01578855245825557,-0.0633333333333333
ielabRun22,0.025012071192549626,0.008857957712966023,0.07000000000000002
udelT1Comb,-0.003870499041962794,-0.008206084223064125,-0.043333333333333335
udelT1Base,-0.005878305169759568,-0.012192460831515373,-0.016666666666666607
SIBTMlit4,-0.02164754678567593,-0.022113395512845524,-0.08166666666666661
mRun4MRFrf,-0.017388535074582934,-0.025672227634669753,-0.040000000000000036
KISTI02,0.006813842936827408,-0.0025749699264088904,0.018333333333333313
5,-0.0009525554593490249,-0.009548203854324727,0.00666666666666671
UDInfoPMSA2,-0.04362091420649489,-0.043747195522313126,-0.08333333333333331
POZabsBB2GRn,-0.00020572123534959297,-0.002537646299155344,-0.020000000000000018
Semantic,-0.008656161609521262,0.0011731484166758177,-0.021666666666666556
UNTIIAIS,0.005254772147054804,-0.0062282790065470856,-0.006666666666666682
CJT,-0.01290169487435322,-0.008521065862611532,-0.036666666666666736
kkseabs4,0.03150187935846348,0.013644322974636833,0.08666666666666667
SA,0.024175578838619483,0.016560920097327417,0.044999999999999984
UCASSEM3a,0.010351822841504543,-0.0022039342716971555,-0.013333333333333308
UWMSOIS6,0.002827461524636421,-0.0022960762175150973,0.009999999999999842
mugpubboost,-0.035322936360519586,-0.034821239731828546,-0.1133333333333334
sa4,0.024781017459712507,0.018969795791797243,0.04666666666666669
UWMSOIS9,0.004463286396581112,0.0005504830186623122,0.014999999999999847
1,-0.02016748267473184,-0.01787863877252649,-0.09833333333333333
q,0.03686311529431291,0.035278685146485564,0.12999999999999992
Lambda,0.03980424775945901,0.028588461792472167,0.1033333333333333
aCSIROmedPCB,0.009405620465640474,0.0009234932229759962,-0.0016666666666666496
2,-0.02516067239853015,-0.023441962298899888,-0.12500000000000006
ielabRun21,0.040290400984182476,0.014874313073290379,0.08666666666666667
ielabRun3,0.03883208140697084,0.014439560160766078,0.08833333333333333
NOVAsa1,0.0538089975613526,0.03288946422613204,0.13000000000000012
mayonlppm1,-0.028535598574027182,-0.023277316744374714,-0.08666666666666667
MAN,-0.016649853180855434,-0.01617580217483766,-0.02999999999999997
UTDHLTAF,-0.048612373026707345,-0.05767275285903306,-0.12999999999999995
Focused,-0.004756553421108117,0.0029435386849645667,0.01666666666666672
mayonlppm4,0.014170663942097428,0.012351280601967468,0.03666666666666668
3,-0.02012877460535728,-0.017408472548544968,-0.1116666666666668
BASE,-0.01130266874958552,-0.009581157419868341,-0.03333333333333338
udelT1GeMeSH,0.005444704177039905,0.0012899220251814392,-0.011666666666666603
mRun1Bsl,-0.0265782627271261,-0.02669392310113261,-0.05666666666666664
UCASSEM2a,0.007953857631396388,-0.0077295543596533345,-0.04166666666666663
luc,0.025442357201791943,0.023401311839708686,0.07500000000000007
gws,0.08648233549538781,0.06533736444793058,0.21499999999999997
KISTI04,0.006851747333415592,-0.0024273634236627872,0.011666666666666603
medline3,-0.029841556671850566,-0.02920577465138749,-0.030000000000000138
ielabRun23,0.029384710167744077,0.010168889926872055,0.065
UDInfoPMSA6,0.0008263944705639292,-0.0003266874880256676,0.006666666666666654
kkseabs1,0.03881405581878375,0.02811743112728439,0.07499999999999996
medline4,-0.011088663224880724,-0.008664624380845629,-0.0050000000000001155
medline1,0.021204325404272695,0.01229089709291628,0.034999999999999865
medline2,-0.0029802814204891726,-0.003178879270642865,0.019999999999999962
sa1,0.009272996138153522,0.00319076863565855,0.0016666666666666496
aCSIROmedMCB,0.00868122771102564,0.0007078854185960382,0.019999999999999962
ielabRun1,0.027570940539044672,0.010424413750112226,0.06666666666666667
Ensem,0.023140887496860996,0.01833693382128275,0.038333333333333386
UTDHLTSF,-0.041198107338851986,-0.053386543077199616,-0.13333333333333341
udelT1PRF,0.004641099395487902,-0.00998563809902911,-0.016666666666666663
Broad,-0.026929605856705507,-0.01565555839284552,-0.05666666666666664
POZabsBB2sn,-0.018879148110271915,-0.02682594090885862,-0.07833333333333337
aCSIROmedMGB,0.051762952074178636,0.030966700489382645,0.08833333333333337
mRun5MRFBow,0.05103470847184205,0.03538675101601965,0.10166666666666671
Gwave,0.019303697190219987,0.007624547782934119,0.04833333333333334
Ontological,0.005380823689385028,0.013154065603215914,0.008333333333333304
KISTI05,0.014114714789268679,0.003029271044051665,0.03499999999999981
UNTIIALQ,-0.027323015814995244,-0.03906464963823722,-0.135
UTDHLTSQ,0.030365411784016305,0.017015187498957363,0.06166666666666659
UCASSEM1a,0.0037657197206834025,-0.006051150159867652,-0.04999999999999999
SIBTMlit5,-0.0012845140977846836,-0.0033671377562618787,-0.08166666666666667
UTDHLTJQ,-0.04124871163901411,-0.05260608076480708,-0.13666666666666655
UNTIIADW,-0.027159178210099666,-0.03983319837758022,-0.1233333333333333
GP14Medline,0.018005751138678312,0.007543521168305502,0.036666666666666674
SIBTMlit1,-0.016791535131969015,-0.01842488425252853,-0.0783333333333332
medline5,-0.017897140984141358,-0.019895136076954506,-0.03333333333333344
4,0.06279360620106422,0.05070452244454471,0.11333333333333334
UNTIIAGA,0.003894225703832549,-0.007600483569604605,-0.01666666666666672
aCSIROmedNEG,-0.016731789087173377,-0.016515960678440772,-0.02499999999999991
sa2,-0.0016383355616715334,-0.008099454484153584,0.02166666666666664
NOVAsa2,0.035723786131570734,0.023721898372853503,0.07333333333333336
aCSIROmedAll,-0.003553609441875105,-0.008848975684414062,-0.040000000000000036
mayonlppm5,-0.0017176140953903407,-0.005793515016049328,-0.025000000000000078
Jnal,0.036762523895230936,0.025807106828747095,0.05833333333333335
UDInfoPMSA7,-0.02325435668738457,-0.02439941808617163,-0.06000000000000005
mugpubbase,-0.03277739180780198,-0.03322260490102408,-0.1416666666666666
nn,0.0318484443396615,0.03731386687421709,0.10500000000000004
mugpubgene,0.02217937635202455,0.007985378965611661,0.003333333333333466
UCASSEMUMLSa,0.0213589197124478,0.0009694920093842041,5.551115123125783e-17
cbnuSA3,0.07125317523948732,0.043522003300259154,0.1533333333333333
UWMSOIS5,-0.007019582760603715,-0.008525497246940933,-0.006666666666666765
mugpubdiseas,-0.024949349124574638,-0.020723117408442404,-0.06
DUTIR003,0.016941426963613504,0.0067907211912797,-0.008333333333333304
mayonlppm2,0.02674799573732367,0.023337012145724298,0.05833333333333329
KISTI03,0.017951587667747404,0.00596677502329028,0.028333333333333377
BM25+d-gm,-0.005835174974113844,-0.01094301576976281,-0.05666666666666664
BM25+d+gm,-0.01786605846708733,-0.02344198202272943,-0.08166666666666661
BM25-d-gm,-0.011984583939472049,-0.019504424269539578,-0.04500000000000004
BM25-d+gm,-0.025093460120163558,-0.034145292609424005,-0.07833333333333337
