,ndcg@1000,map@1000,precision@20
3,-0.04235933406681236,-0.04949728518951757,-0.06896551724137931
cCSIROmedHGB,-0.026007413183394557,-0.04463970515862062,-0.03448275862068964
UWMSOIS1,-0.015854603570109038,-0.02530317065501153,-0.04655172413793099
KISTI03CT,-0.033480201923247244,-0.05476207213961959,-0.06551724137931031
UNTIIACTDW,-0.01511304177469162,-0.008526673495459464,-0.0034482758620689585
tri,0.012574022063761514,0.00955247152811757,-0.006896551724138
mayonlpct1,-0.017741587098300288,-0.013070756497597008,-0.02586206896551721
ct2,-0.01456791951770696,-0.009587274850915754,-0.02758620689655171
cRun1Bsl,-0.04244511728854927,-0.047203937332492646,-0.06551724137931031
LGDprfGOpt,-0.02160252890933062,-0.03093205439283528,-0.03448275862068967
4,-0.01557217547941897,-0.011146936403305607,-0.03275862068965529
UDInfoPMCT10,0.04047366833246416,0.028529790706835166,0.0793103448275862
UCASSEMUMLS,-0.004760144638749908,-0.027975822629706187,-0.013793103448275862
teckro4,-0.024203282891118783,-0.03070018350235104,-0.04655172413793099
DUTIR004,-0.043658396599961624,-0.05230202914447665,-0.043103448275862044
Textualc,-0.01283855669554107,-0.013082437637712857,-0.02586206896551721
Focusedc,-0.005992486583983853,-0.0046370713038213635,-0.013793103448275876
NOVAtr5,-0.02175784483148757,-0.028914233574857673,-0.018965517241379293
udelT2GeMeSH,-0.07351372749243212,-0.08441453136050672,-0.06034482758620682
IICTrun5,-0.02463650224913433,-0.02991091508447495,-0.04310344827586207
teckro2,-0.024203282891118783,-0.03070018350235104,-0.04655172413793099
kksetri2,0.038204995068730624,0.02538875427758098,0.0482758620689655
SIBTct2,-0.008335404784458211,-0.008567958628201047,-0.008620689655172403
TRL,-0.0590893741519925,-0.055273493991285644,-0.025862068965517238
UDInfoPMCT8,-0.031362031365040566,-0.03650836761084497,-0.03275862068965521
gwsq,0.08887909780394324,0.05297237386103232,0.12413793103448277
udelT2PRF,-0.05943833213455468,-0.09558012455354956,-0.07241379310344828
NOVAtr3,-0.03186319124895942,-0.03819693458529544,-0.044827586206896614
2,-0.023587801890302684,-0.03405055144617561,-0.05689655172413796
cCSIROmedMCM,0.005199864402240628,-0.013705687052308652,-0.029310344827586265
dumbmethod,-0.009074393860577734,-0.007798513757498321,-0.029310344827586154
ct3,-0.013925978173370157,-0.006880946144897374,-0.022413793103448265
NOVAtr2,-0.0720033632255721,-0.07928582785238875,-0.0844827586206896
1,-0.018940896382025285,-0.013351478690512897,-0.031034482758620696
teckro1,-0.08297434625069244,-0.09183342910238043,-0.10344827586206895
PF,0.044945677671280104,0.023903881114436268,0.03620689655172413
KISTI04CT,-0.04068487821826744,-0.05770404757889139,-0.08275862068965517
trial1,-0.006943340020664768,-0.002053293310627577,-0.025862068965517265
UTDHLTSFT,-0.04704044636626764,-0.07610982536997551,-0.0672413793103448
cCSIROmedNEG,-0.0042317596292969495,-0.013190626209070772,-0.03793103448275864
Semanticc,-0.009639051737589943,-0.007448002441540216,-0.017241379310344848
UMLS,0.04232318776926863,0.03021696068076475,0.06034482758620685
trial4,-0.006943340020664768,-0.002053293310627577,-0.025862068965517265
