,ndcg@1000,map@1000,precision@20
abs5,-0.08137646859042258,-0.09133591869296984,-0.22400000000000003
cubicmnzAbs,-0.024009343796797478,-0.0171437712963618,-0.12
2,-0.050390697708077914,-0.04468262486855837,-0.15199999999999997
cbnuSA2,-0.030960591909862833,-0.02210279551656691,-0.08900000000000008
4,-0.05199655574701478,-0.04789807018209985,-0.15699999999999997
SIBTMlit3,-0.07711799188648405,-0.08988879514960813,-0.24099999999999988
PBAH,-0.06957692669879462,-0.07068710904226769,-0.23800000000000004
run2,0.0031255221083554188,0.0007567061348702058,0.008
KLPM18T2Bl,-0.034177410651320794,-0.029752894625244525,-0.124
mayomedcomp,-0.018449440687233032,-0.01678701059911525,-0.10500000000000004
PBH,-0.07468136656205943,-0.07503083323920182,-0.25300000000000006
minfolabBA,0.0019850415378278585,0.004843019573916668,0.009000000000000064
UDInfoPMSA3,0.007433710933003046,0.009550900801528331,-0.014000000000000012
sumAbs,-0.025260246638134864,-0.018675761804927,-0.12199999999999994
UCASSA1,-0.06924076391050271,-0.08543027097935424,-0.199
mayomedsimp,-0.02609161436267332,-0.030684827314010843,-0.1519999999999999
NL,-0.05348444758030446,-0.05588392264695746,-0.1730000000000001
bool51,0.008988321609897765,0.013610772804009186,0.0020000000000000573
DGS,0.029289595153954517,0.02642905771218615,0.04400000000000007
3,-0.03774852921812677,-0.041571368631154015,-0.12900000000000006
Run2,0.009449586892287264,0.003848972519430079,0.021999999999999995
run3,0.028036633946002476,0.01859319760918643,0.16900000000000004
RF,-0.0179305393489258,-0.0026942051016907442,-0.1280000000000001
UVAEXPBSTNEG,-0.003811157001542803,-0.0013422727294624959,0.0
abs1,-0.08413587877079465,-0.09305714810973334,-0.22599999999999998
SIBTMlit2,-0.07436721004244373,-0.08738494523146031,-0.23699999999999993
SF,-0.008343213686013984,0.008230284460689075,-0.09399999999999992
fusion,-0.03133417310469022,-0.03304074356233139,-0.13299999999999995
PBPK,-0.07464867785682078,-0.0785515900952474,-0.24100000000000005
UDInfoPMSA5,-0.06807685573744804,-0.0738663490176226,-0.185
abs4,-0.08100535896031325,-0.0891989649066176,-0.21499999999999986
Base,-0.03925003837826513,-0.03962548353560372,-0.09699999999999998
cbnuSA1,-0.042480158269243395,-0.034641844013223594,-0.12399999999999994
UCASSA3,-0.07072998446011436,-0.08287453985867982,-0.21300000000000013
SIBTMlit4,-0.07792314011666923,-0.09351228872773412,-0.23099999999999993
1,-0.008419289667832397,-0.008300621275095621,-0.09299999999999997
sa13,-0.08536031601518423,-0.1077160158866304,-0.25100000000000006
UVAEXPBSTDIF,0.0004318990745552642,0.0005662185522870289,0.0
medline,-0.045099891723928365,-0.045023218737112125,-0.10800000000000004
UDInfoPMSA2,-0.0717250526494273,-0.07768521499630934,-0.20100000000000007
abs3,-0.0813810735883519,-0.09030650474599652,-0.21799999999999992
UVAEXPBSTSHD,0.0032918779822447286,0.0028537810704095806,0.0
sa15,-0.07896572646644795,-0.09553389744280347,-0.21499999999999997
minfolabBC,0.00047923348972617186,0.00394020545831604,0.010999999999999954
minfolabBD,0.00683655413427936,0.0070348086889998745,0.014000000000000012
UDInfoPMSA4,0.0030942804739933494,0.007334855763556872,-0.030999999999999972
sumEW,-0.02923886186657404,-0.02223337008360926,-0.13900000000000007
mnzAbs,-0.024009343796797478,-0.0171437712963618,-0.12
run,0.005960001794744485,0.015354132090257322,0.01899999999999996
hpipubbase,-0.07403368560290069,-0.0912469538984641,-0.238
sa14,-0.08623924219939083,-0.10413155736393484,-0.24700000000000005
KL18absHY,-0.0426429735622359,-0.03671238162295734,-0.14100000000000001
FUO,0.11359803169253013,0.10345321438129655,0.201
UCASSA5,-0.08256312236697017,-0.09882208286832275,-0.23400000000000004
5,-0.051235431705971335,-0.04645613313501626,-0.14799999999999996
mayopubtator,-0.032846524224246276,-0.02806369876180427,-0.11499999999999994
stage,-0.03707785175810224,-0.04054873479124668,-0.14200000000000002
UCASSA2,-0.07495996945898331,-0.09862889360257796,-0.21400000000000002
fu,-0.031020648040013143,-0.03374612925755144,-0.1359999999999999
cubicsumWAbs,-0.020151462384187302,-0.005793975428141196,-0.09100000000000003
UCASSA4,-0.07232236666786462,-0.08723966561026616,-0.21900000000000008
hpipubclass,-0.08549251164346272,-0.10393431599390485,-0.283
WTU,0.0044567441458365775,0.0038134693859762855,-0.011000000000000038
rbf,-0.03030470219987441,-0.039087034350494515,-0.129
FU,-0.03531331216057976,-0.03477415333139394,-0.10200000000000009
aCSIROmedMCB,-0.00021619308800069348,0.003892734079326471,-0.025999999999999912
Run1,0.014586907842552118,0.006368696521177202,0.021999999999999992
BASE,-0.08187477748803379,-0.08437842799998194,-0.2690000000000001
sa11,-0.08786956907860699,-0.10529872115744349,-0.23900000000000005
sa12,-0.07811329764898345,-0.0947910778829659,-0.23400000000000004
Run5,0.013430097327198957,0.00614588531111626,0.016
SIBTMlit5,-0.06953536518233583,-0.08011213477938856,-0.2119999999999999
hpipubnone,-0.0852922192153116,-0.10797909733897959,-0.2909999999999999
UVAEXPBOOST,0.005375683271248322,0.003972156660286705,0.0
KL18AbsFuse,-0.0367060379754387,-0.028464311194528108,-0.12000000000000005
KL18absWV,0.041796993205086175,0.04954585710101882,0.10400000000000001
run1,-0.04038369676536685,-0.0429328948081939,-0.08999999999999986
SIBTMlit1,-0.06998497312402818,-0.08508407645116361,-0.21499999999999997
hpipubboost,-0.0892056668728175,-0.11078868254606097,-0.306
hpipubcommon,-0.08532546056037638,-0.10782592972569374,-0.2889999999999999
UVAEXPBSTEXT,0.0015811784671974916,0.001458510202492963,0.0
aCSIROmedNEG,-0.012662159379808136,-0.007220718527012296,-0.08399999999999996
aCSIROmedAll,-0.03652633154285717,-0.02042615675485565,-0.11900000000000005
abs2,-0.08327518063365336,-0.09338475066360216,-0.22299999999999998
Run4,0.016589715473781533,0.007651324614851169,0.034
minfolabTH,0.0065744739503067195,0.007164523960583952,0.004999999999999893
DGEWU,0.011709093288963301,0.013289018328495689,0.009999999999999953
cbnuSA3,0.03950225256120232,0.030990964998377238,0.05099999999999996
Run3,0.009449586892287264,0.003848972519430079,0.021999999999999995
DGEWS,0.016345204753154374,0.014375070493860193,0.008000000000000063
DGES,0.028159273541520924,0.02601683907951749,0.023999999999999994
RA,-0.022724826681352228,-0.011167681343226266,-0.1519999999999999
UDInfoPMSA1,-0.0691560562317266,-0.07657395570444878,-0.182
PBL,-0.07612278911275805,-0.0764618426721988,-0.25899999999999995
SS,-0.008488699693404156,0.008879449553635399,-0.07999999999999996
mayomedcreat,0.0407501931153299,0.040982458565681626,0.062
BM25+d-gm,-0.04800485452065334,-0.04615611879175674,-0.15400000000000003
BM25+d+gm,-0.026504910378902014,-0.03683293082568295,-0.10200000000000004
BM25-d-gm,-0.057566394140405985,-0.06323491117914454,-0.16299999999999998
BM25-d+gm,-0.03657190702687446,-0.0565593393464936,-0.12799999999999995
