,ndcg@1000,map@1000,precision@20
abs5,-0.1009026231055552,-0.116885240945762,-0.29000000000000004
cubicmnzAbs,-0.037583791938227584,-0.030649304574608238,-0.16499999999999992
2,-0.06350947440326404,-0.06563118828636555,-0.21299999999999997
cbnuSA2,-0.043722176941628,-0.031928301535959325,-0.14000000000000007
4,-0.06692798140143441,-0.07320968375656978,-0.23000000000000004
SIBTMlit3,-0.10407603595627024,-0.1253768187978548,-0.32399999999999995
PBAH,-0.072312453013266,-0.06697835135767,-0.26100000000000007
run2,0.0033223638274299423,0.0007367263571744964,0.006000000000000001
KLPM18T2Bl,-0.04922628286739145,-0.05597754687019871,-0.18900000000000006
mayomedcomp,-0.03497980829947506,-0.02825020605159953,-0.15700000000000008
PBH,-0.07459219628558422,-0.06820681441711449,-0.2800000000000001
minfolabBA,-0.0168822372276298,-0.007399278286603486,-0.03200000000000003
UDInfoPMSA3,-0.008413141014375736,0.0014422605865067467,-0.06999999999999995
sumAbs,-0.039034239726360165,-0.03129093077420145,-0.16399999999999992
UCASSA1,-0.08988710880539552,-0.10841852963818494,-0.274
mayomedsimp,-0.04616809044637904,-0.05254695262228151,-0.2069999999999999
NL,-0.0798735093963982,-0.0838231193006613,-0.24900000000000003
bool51,-0.00024913691527972404,0.006241295440140404,-0.050000000000000044
DGS,0.028413831071842033,0.02492706119767328,0.01300000000000004
3,-0.06014728558676685,-0.07008872101008318,-0.2220000000000001
Run2,0.014510842508917415,0.006183922518663383,0.022
run3,0.0308248030507684,0.03210442411853073,0.15799999999999997
RF,-0.04192465000015483,-0.026866917324856632,-0.1880000000000001
UVAEXPBSTNEG,-0.009163296975248147,-0.00441410706805237,0.0
abs1,-0.10063387125660461,-0.11828992910122088,-0.29599999999999993
SIBTMlit2,-0.10775832087996495,-0.1270448262925811,-0.33399999999999996
SF,-0.03276395930171877,-0.01253067623583104,-0.15099999999999997
fusion,-0.05057967558705412,-0.05007231522831998,-0.19399999999999995
PBPK,-0.07912411214444953,-0.07888777356237034,-0.26800000000000007
UDInfoPMSA5,-0.07546718997635404,-0.07985495120593308,-0.23300000000000004
abs4,-0.0962446819826338,-0.1136716969135042,-0.26499999999999996
Base,-0.05705119944663095,-0.05865067588008788,-0.15899999999999997
cbnuSA1,-0.05532680820168773,-0.04943989515078895,-0.181
UCASSA3,-0.0929148049795937,-0.11199267363952903,-0.293
SIBTMlit4,-0.10245003586566548,-0.12626565377061696,-0.31399999999999995
1,-0.024656823078303858,-0.0318885700375153,-0.16199999999999998
sa13,-0.0954948816549388,-0.11955128764945774,-0.30100000000000005
