,ndcg@1000,map@1000,precision@20
cbnuSA2,-0.014764449560144555,-0.01985665439711587,-0.053750000000000075
SIBTMlit3,0.0014410406421196953,0.006937217104569238,-0.02999999999999997
t,-0.012751850605783766,-0.024295100214700216,-0.08625000000000005
rr,-0.001608399433613017,-0.006676169941095378,-0.03999999999999998
DutirRun4,-0.03145900340601593,-0.05273584293472783,-0.14125000000000004
jlpmtrboost,-0.008005777631459321,-0.0118474426041595,-0.07374999999999987
BM25neopcomd,-0.020024612285183263,-0.03181086089961235,-0.125
mug2,-0.02811710461911121,-0.04229390183510595,-0.08999999999999997
base,-0.0011119688242350878,-0.006877568827920594,-0.04625000000000001
sa1,-0.01979611996753894,-0.04263268954876026,-0.17499999999999993
SIBTMlit2,-0.02531072305188664,-0.0329535289524458,-0.13374999999999992
mug1,-0.01588483355246184,-0.0321439522969984,-0.09999999999999987
absrun2,0.01608321094288201,0.013099740462902618,-0.021250000000000047
cbnuSA4,-0.010266749399622022,-0.01451148054049628,-0.08875000000000005
mug3,-0.027482766902213407,-0.034180561909893104,-0.0724999999999999
MedIR1,-0.013100193196438403,-0.02925022825443019,-0.12750000000000006
cbnuSA1,-0.015326680219031441,-0.019247507619683163,-0.04749999999999993
ft,-0.0001178035122266774,-0.005300356929905714,-0.03749999999999998
letor,-0.008000397002325355,-0.01817223550188568,-0.12250000000000005
SIBTMlit4,-0.02531072305188664,-0.0329535289524458,-0.13374999999999992
BM25neopgngm,-0.018239576520131306,-0.031198130481208286,-0.11874999999999997
BM25neop01,-0.020549366842899652,-0.03238628709988636,-0.11624999999999996
MedIR2,-0.009582176326969616,-0.020791800901668434,-0.11499999999999994
run3,0.01172756594817953,0.012848802288791844,-0.028750000000000053
bc,-0.025319402873975938,-0.038832863435879605,-0.12125000000000002
top4fusion,-0.015132595489225742,-0.02852850622560693,-0.12749999999999995
run1,-0.006092468270579299,-0.01277836398061441,-0.06125000000000008
sa4,-0.0016399670314672932,-0.02090746672386326,-0.10875000000000001
DutirRun3,-0.030889324077866043,-0.05214242749275183,-0.11624999999999996
MedIR5,-0.007282430114708527,-0.021818976507933352,-0.06749999999999995
DutirRun1,-0.031066208665829098,-0.054396964815830895,-0.16000000000000003
run5,0.01792163504037514,0.019434023890318217,0.0050000000000000044
default1m,0.012335237504514231,0.004391228296360753,0.05374999999999999
sa3,0.0050217027248185,-0.015498634597704092,-0.11625000000000008
8435,0.00011263154218732474,-0.001791246090236176,0.00749999999999984
MedIR4,-0.004433933834657233,-0.017661559088662376,-0.08499999999999996
BM25,-0.014557216791593275,-0.029470861364992218,-0.09500000000000003
MedIR3,-0.017894514653750693,-0.030467824773946772,-0.11625000000000002
DutirRun2,-0.03231376193980262,-0.05618883448408246,-0.13874999999999998
jlpmtrcommon,-0.0062896879447903176,-0.007914125534515107,-0.07500000000000001
absrun1,0.01323963732131811,0.010338602030813937,-0.00874999999999998
jlpmletor,0.0571170641663421,0.06498447847369021,0.01749999999999996
sa2,-0.015820263699112935,-0.03641709280413058,-0.16999999999999993
default100k,0.002346109691546104,0.0007685123104538762,6.938893903907228e-18
SIBTMlit5,-0.030551390117636523,-0.03866974711727336,-0.1412500000000001
run2,-0.008620331259590164,-0.014598223504185714,-0.09625000000000006
DutirRun5,-0.034365897717645866,-0.055145584476950976,-0.14500000000000002
SIBTMlit1,-0.02407664781600849,-0.03140713322712274,-0.15749999999999997
sa5,-0.009619231456168165,-0.024534780808178808,-0.09000000000000008
jlpmltrin,0.09111559243731793,0.08619282919648996,0.07624999999999998
SAsimpleLGD,-0.03562927566128815,-0.05021467059670806,-0.13499999999999984
cbnuSA3,-0.0069230074476887005,-0.011136438566384355,-0.057499999999999996
run4,0.022141377095428072,0.02172459451426259,0.019999999999999962
5113,0.004644474238457208,0.0030604663738516003,0.02999999999999997
9464,-0.02075576362321696,-0.03246843706259636,-0.08625
6801,-0.009697431888537777,-0.031892177858447196,-0.08750000000000002
jlpmcommon2,-0.03625879509060159,-0.0599047562493884,-0.16875000000000007
BM25+d-gm,-0.016382080777917474,-0.024610853042766584,-0.050000000000000044
BM25+d+gm,-0.015196902302529625,-0.021039248933204524,-0.03125
BM25-d-gm,-0.02195684644779128,-0.036722509289371125,-0.08249999999999996
BM25-d+gm,-0.019541529803765334,-0.03518955549938668,-0.07374999999999998
