,ndcg@1000,map@1000,precision@20
jlctltrin,0.08340749220431343,0.08930552799891617,0.06315789473684219
agg,-0.03421618466937826,-0.04281711414114492,-0.04999999999999999
f,-0.048685500248213553,-0.0512604647697254,-0.04999999999999993
jlctphrase,-0.021141061017671436,-0.02421235767523011,-0.06184210526315792
tk3nodemogr,0.028422294105068024,0.01841111365841279,0.022368421052631593
Cli1,-0.010413124927446393,-0.03343418933087583,-0.024999999999999967
SIBTMct2,-0.003971761713708721,-0.005843243667150111,-0.03947368421052627
ngnd,0.09465886346335539,0.08372785405190314,0.09736842105263163
1,0.10213666720172881,0.09233545318916184,0.13157894736842105
rr,-0.0283277794237764,-0.03946829724419171,-0.03947368421052627
run3,0.03255461840747442,0.04200821502321689,0.015789473684210464
jlctletor,0.10338324959123857,0.11674070298157771,0.11184210526315791
tk1allbinary,0.03673253314469355,0.025223993597122435,0.017105263157894707
cbnuCT4,-0.02142549675597305,-0.03932409684193938,-0.01710526315789468
Cli2,-0.011801427009792365,-0.03335658459406832,-0.023684210526315752
SIBTMct4,-0.006018899514099618,-0.008102480378940347,-0.03947368421052627
61,-0.055697016586812864,-0.0697242451906886,-0.06973684210526321
bc,-0.058170813936844146,-0.07940337112746665,-0.07894736842105265
jlctprec,-0.022666624426802673,-0.024295357634924297,-0.059210526315789436
tk3onlygnds,0.040287813861361876,0.0355260801862866,0.0368421052631579
trials2,0.0045267685442812455,-0.04071453073770648,-0.12894736842105248
run5,0.024203694352875504,0.02489942803441339,0.005263157894736803
BM25solid01r,-0.06705985020683125,-0.08828468639905085,-0.10394736842105262
run4,0.05231809162623119,0.0676710135824197,0.019736842105263164
100,-0.0013621808045155004,-0.007408812570876971,-0.047368421052631504
eged,0.13550947914676081,0.10910407832756448,0.1328947368421053
trialsrun1,0.0030524859695240103,-0.007698913226678261,0.01578947368421063
base,-0.03048728026506442,-0.03566728705053579,-0.03684210526315784
tk3allfuzzy,0.0304914051584268,0.020282713170065803,0.024999999999999994
2,0.1279037336512292,0.1102386662894735,0.1342105263157895
25,-0.05890201699276765,-0.07035173204111073,-0.07894736842105265
letor,-0.0648125517047069,-0.08304746350314315,-0.07368421052631574
SIBTMct5,0.007437285421747597,0.007560514760182713,-0.018421052631579005
trialsrun2,0.044228373177004676,0.04892214798635883,0.013157894736842202
BM25neop01r,-0.051997717127370335,-0.07246032287971377,-0.08947368421052632
cbnuCT1,-0.051244276100068875,-0.0794499073649878,-0.05263157894736842
top3fusion,-0.07078164726071956,-0.09033140186499972,-0.11578947368421044
cbnuCT2,-0.05003396591644704,-0.07941297205054204,-0.05394736842105269
BM25ct,-0.06901044591980421,-0.08417511990213355,-0.09210526315789469
noletor,-0.05084844867934901,-0.06970287940103326,-0.08026315789473687
trials1,-6.950351099777041e-05,-0.04395288196186459,-0.14078947368421058
SIBTMct1,-0.011231556317233826,-0.011245141065975378,-0.035526315789473684
cbnuCT3,-0.02090187630444973,-0.03208667351972022,-0.019736842105263108
ft,-0.033202866311752566,-0.037161007482908515,-0.03815789473684211
egnd,0.07626170182871322,0.07257556243046492,0.044736842105263186
tk1allfuzzy,0.03384263426317091,0.02049203105218611,0.030263157894736797
simple,-0.05102327738001161,-0.0717795059901401,-0.07894736842105265
50,-0.0030637732703504006,-0.013306362185703635,-0.03289473684210514
jlctgenes,-0.06590843242821143,-0.0944631666414299,-0.0894736842105262
BM25solid01o,-0.07279589675405362,-0.09409310524701792,-0.10921052631578937
SIBTMct3,0.0066801621725235405,0.007898456890442718,-0.01447368421052636
BM25+d-gm,-0.004031204650876752,-0.012105761361357673,-0.048684210526315774
BM25+d+gm,-0.00986792992598895,-0.010912622468349412,-0.030263157894736825
BM25-d-gm,-0.016333882068552186,-0.03151804636088018,-0.06184210526315792
BM25-d+gm,-0.017127042235125678,-0.03413481700142773,-0.03815789473684211
