,ndcg@1000,map@1000,precision@20
cbnuSA2,-0.009954691069507304,-0.0032429305498325456,-0.028750000000000053
SIBTMlit3,-0.009461111173117931,-0.0007746479403220596,-0.06875000000000003
t,-0.025041775324822158,-0.026494669908461166,-0.08500000000000002
rr,-0.0054082661579333835,-0.007057517600141783,-0.024999999999999967
DutirRun4,-0.021660559260100798,-0.029747749287862002,-0.11625000000000002
jlpmtrboost,-0.014629129933166007,-0.011274163171116874,-0.06124999999999986
BM25neopcomd,-0.01577809533809882,-0.017856992287503093,-0.10375000000000001
mug2,-0.02841660263619339,-0.0325463007772428,-0.10625000000000007
base,-0.009509129365724123,-0.00563157258587399,-0.04375000000000001
sa1,-0.0171398734929179,-0.019964404581166467,-0.14750000000000002
SIBTMlit2,-0.02447118177281027,-0.027521438087850958,-0.13874999999999998
mug1,-0.015374739569441354,-0.02387557003667673,-0.11124999999999985
absrun2,0.013562716827171195,0.015352773251270616,-0.020000000000000018
cbnuSA4,0.00015234075188352847,0.004885409003732882,-0.040000000000000036
mug3,-0.029166687848563577,-0.02567886715687409,-0.08999999999999997
MedIR1,-0.010483438283445057,-0.016169332269442144,-0.09500000000000003
cbnuSA1,-0.0070092987044924615,-0.000438933010832282,0.0050000000000000044
ft,-0.004015482919090152,-0.005199448268556867,-0.01874999999999999
letor,-0.01124303407905447,-0.0042132566102250635,-0.10875000000000007
SIBTMlit4,-0.02447118177281027,-0.027521438087850958,-0.13874999999999998
BM25neopgngm,-0.015139871672163796,-0.01572028137274134,-0.11125000000000007
BM25neop01,-0.016345737329684806,-0.017806339787423048,-0.10874999999999996
MedIR2,-0.01161435782058634,-0.009401468567559301,-0.07874999999999988
run3,0.00996517770807176,0.011528809763120984,-0.025000000000000078
bc,-0.023323125503994513,-0.020050360962240665,-0.11250000000000004
top4fusion,-0.017251490266628866,-0.018473241845094357,-0.11375000000000002
run1,-0.009917836783071343,-0.004415913012201733,-0.07000000000000006
sa4,-0.0035841730918332315,-0.004038831003475796,-0.12625000000000003
DutirRun3,-0.03139042257582392,-0.03434900721768658,-0.13124999999999992
MedIR5,-0.0030148179114760643,-0.005402567924970819,-0.04499999999999993
DutirRun1,-0.028391993812267646,-0.0313486504589148,-0.13875000000000004
run5,0.011665775405458545,0.01855121156149496,0.014999999999999958
default1m,0.009495794172131478,0.0032462400713273174,0.039999999999999994
sa3,0.007080222787157586,0.004531855262657203,-0.09000000000000008
8435,-0.007925052273421662,-0.00529880235991341,0.007499999999999951
MedIR4,0.0011526637275003915,-0.0011872421153075186,-0.007499999999999951
BM25,-0.013541206365905945,-0.014682090568153477,-0.08375000000000005
MedIR3,-0.014420967372869242,-0.012954857631812366,-0.0675
DutirRun2,-0.027659523211504444,-0.03218960463061782,-0.11249999999999999
jlpmtrcommon,-0.011875752536040673,-0.010217967600559277,-0.05250000000000005
absrun1,0.006235209476696091,0.009743021494079546,0.0050000000000000044
jlpmletor,0.03362533150237035,0.04262366247915686,-0.010000000000000009
sa2,-0.015966532913887277,-0.018107562539109584,-0.14000000000000007
default100k,0.0016365426647532762,0.0005030368111195035,6.938893903907228e-18
SIBTMlit5,-0.032330767223774814,-0.03290987920398014,-0.15875000000000006
run2,-0.010013323011297204,-0.00178393236135857,-0.08875
DutirRun5,-0.024284047297522093,-0.03083857171823179,-0.1050000000000001
SIBTMlit1,-0.029650702279278685,-0.029393158012236575,-0.13874999999999998
sa5,-0.006312080893526861,-0.009175820762198528,-0.09000000000000008
jlpmltrin,0.06040573568436591,0.0558584188972405,0.01749999999999996
SAsimpleLGD,-0.030043051578060198,-0.03113413175347307,-0.11124999999999985
cbnuSA3,-0.0021786806224112776,0.003989482020933022,-0.05749999999999994
run4,0.023244768056434384,0.02161606024866103,0.03749999999999998
5113,-0.0021270241481112784,-0.0007240796638524477,0.006249999999999978
9464,-0.023285262362464754,-0.022209067381602665,-0.09749999999999998
6801,-0.0016602840547157438,-0.011517116557136386,-0.08249999999999996
jlpmcommon2,-0.03521000599483848,-0.04208781183853838,-0.185
BM25+d-gm,-0.005699246615198994,-0.0032233599366308097,-0.025000000000000022
BM25+d+gm,-0.008590973020703496,-0.005087500259509936,-0.01874999999999999
BM25-d-gm,-0.015994879249110527,-0.015799090329281174,-0.07
BM25-d+gm,-0.010748038239496105,-0.013992946239953619,-0.04999999999999999
