,ndcg@1000,map@1000,precision@20
cbnuSA2,-0.04254177059246106,-0.041717683699708186,-0.17000000000000004
SIBTMlit3,-0.025774632962793198,-0.01354441602967782,-0.13875000000000004
t,-0.05231513060762322,-0.06077984138193723,-0.21375
rr,-0.024311920826973088,-0.02777583110678264,-0.14499999999999996
DutirRun4,-0.07236119537351371,-0.08973379596495273,-0.26749999999999996
jlpmtrboost,-0.02958391368436525,-0.027292080523219617,-0.1812499999999999
BM25neopcomd,-0.048839025012471504,-0.06041192564185682,-0.19625000000000004
mug2,-0.0684616239937359,-0.08085906753754102,-0.24124999999999996
base,-0.026598101264663554,-0.026520658471792663,-0.13750000000000007
sa1,-0.05619783027856917,-0.07016833596149344,-0.27874999999999994
SIBTMlit2,-0.0664398485099279,-0.06972043998277394,-0.29749999999999993
mug1,-0.04585675334836925,-0.06513753101274872,-0.22249999999999992
absrun2,-0.004957734538033942,0.0006025126247893448,-0.08750000000000002
cbnuSA4,-0.028261985243080212,-0.025564980262197473,-0.13625000000000004
mug3,-0.05582871157921954,-0.06249803293357292,-0.19499999999999995
MedIR1,-0.03864562727599857,-0.052982630298946065,-0.2425
cbnuSA1,-0.04032828758311596,-0.039862223695196625,-0.14875
ft,-0.02598827505522039,-0.02851777055273616,-0.14250000000000007
letor,-0.03739546352986478,-0.03784533550436639,-0.22250000000000003
SIBTMlit4,-0.0664398485099279,-0.06972043998277394,-0.29749999999999993
BM25neopgngm,-0.042976618837606395,-0.05821626983234324,-0.19374999999999998
BM25neop01,-0.05043163161300401,-0.06168048133777493,-0.20750000000000002
MedIR2,-0.03322945018350143,-0.04423322921240491,-0.23624999999999996
run3,-0.004495862594602884,-0.0033293652117243056,-0.09000000000000002
bc,-0.05975857340790558,-0.06798641395579388,-0.24125000000000008
top4fusion,-0.051157261612548854,-0.06268992267511533,-0.21125
run1,-0.03283740158192172,-0.03845984106487901,-0.17250000000000004
sa4,-0.026579415470857293,-0.04257072251702343,-0.20249999999999996
DutirRun3,-0.07267831840122496,-0.08955317928134995,-0.25999999999999995
MedIR5,-0.03695372870839331,-0.04902668802814089,-0.17999999999999994
DutirRun1,-0.07047319467843138,-0.08868611328324638,-0.28500000000000003
run5,0.003147999964079773,0.007123508928520247,-0.044999999999999984
default1m,0.008142019494938393,0.003184238949307163,0.023750000000000007
sa3,-0.02510907147500585,-0.040101830398778154,-0.20750000000000007
8435,-0.01403203827341315,-0.014108628926863626,-0.05625000000000002
MedIR4,-0.026381796436129534,-0.03951009735078034,-0.17250000000000004
BM25,-0.04946736975044708,-0.0636415663041788,-0.2025
MedIR3,-0.04947409795608876,-0.059904112815969524,-0.25
DutirRun2,-0.07262804619987573,-0.09217376528471571,-0.27625
jlpmtrcommon,-0.036003152723225185,-0.03066951962248758,-0.19125000000000003
absrun1,-0.005657341079827072,-0.0014358591253742226,-0.06499999999999995
jlpmletor,0.025715629010536145,0.035932301857954624,-0.04375000000000001
sa2,-0.053954559287019865,-0.0677277511385806,-0.2875
default100k,0.00024621830560831934,9.53603571428722e-05,-0.019999999999999997
SIBTMlit5,-0.06476291518015853,-0.07058239813540981,-0.26375000000000004
run2,-0.037228763134839804,-0.03840321651293124,-0.24125000000000008
DutirRun5,-0.06794449784324685,-0.08662261536879759,-0.26375000000000004
SIBTMlit1,-0.059614126981047066,-0.06596608714668772,-0.27625
sa5,-0.03669104578839155,-0.04626204452379437,-0.18000000000000005
jlpmltrin,0.06484942750552869,0.06235300970711477,0.03250000000000003
SAsimpleLGD,-0.06868741349587548,-0.07929439269050703,-0.23999999999999982
cbnuSA3,-0.027709283176111266,-0.02493375302507711,-0.14249999999999996
run4,0.0027383164471856403,0.005387350127397009,-0.04625000000000007
5113,-0.003771381404149232,-0.004975456657407687,-0.006250000000000033
9464,-0.04921940713603412,-0.05836095004900663,-0.19874999999999998
6801,-0.04097592445414966,-0.060857731364897555,-0.21875
jlpmcommon2,-0.0825981386454141,-0.1044559902216845,-0.31250000000000006
BM25+d-gm,-0.03998442530655838,-0.04506923481568187,-0.11875000000000002
BM25+d+gm,-0.0366500397431746,-0.039735200095543266,-0.07125000000000004
BM25-d-gm,-0.04590441777238763,-0.058525904697724423,-0.16375
BM25-d+gm,-0.042909914875923716,-0.05581886609916223,-0.14125
