,ndcg@1000,map@1000,precision@20
jlctltrin,0.08079604956447883,0.08700874071741033,0.06578947368421056
agg,-0.014610461825625087,-0.015811250478768968,-0.01578947368421052
f,-0.029820878839713016,-0.025675300741361706,-0.011842105263157876
jlctphrase,-0.0029912319644939123,-0.0010722955606873863,-0.03026315789473688
tk3nodemogr,0.03535555072196711,0.031005462199325387,0.02236842105263162
Cli1,0.008597092983695931,0.007876098332154469,-0.010526315789473717
SIBTMct2,0.001184854244531519,0.0036290396954864468,-0.007894736842105232
ngnd,0.07657332918348003,0.07513609205570504,0.1
1,0.08273240243171454,0.0874254762069705,0.11973684210526317
rr,-0.00907935843630725,-0.012023876012415446,-0.01578947368421052
run3,0.029322417190787875,0.0394418948658381,0.01710526315789468
jlctletor,0.08698008594499163,0.09475410387654717,0.10263157894736846
tk1allbinary,0.03494454736087632,0.02254110040714752,0.027631578947368424
cbnuCT4,0.00960734065022606,0.01724724068621336,0.006578947368421129
Cli2,0.010236521819242839,0.008872418543028948,-0.022368421052631593
SIBTMct4,0.0012166300523340778,0.0028416574657939564,-0.022368421052631593
61,-0.03601097951252763,-0.027477436732385063,-0.018421052631579005
bc,-0.005195404307486884,-0.00602248420091589,-0.009210526315789447
jlctprec,-0.0050475218097495445,-0.002343615898207918,-0.024999999999999967
tk3onlygnds,0.04540824349033251,0.044381056069723215,0.03815789473684217
trials2,0.022353746324327406,0.005303336164710459,-0.03289473684210509
run5,0.018371500861097567,0.020029893277836774,0.01184210526315782
BM25solid01r,-0.00558661472035038,-0.0017631334754935613,-0.03552631578947374
run4,0.03012643607834986,0.03927732215530458,0.022368421052631537
100,0.022243442564604254,0.019369303127587667,5.551115123125783e-17
eged,0.09580367136239148,0.07943911810988886,0.13157894736842107
trialsrun1,0.015439636333230644,0.019052813787772183,0.028947368421052777
base,-0.01389723367997453,-0.009933488298397242,-0.007894736842105232
tk3allfuzzy,0.024990030608411373,0.013643657424082134,0.02631578947368421
2,0.11014699366956876,0.10287296184140989,0.13421052631578945
25,-0.030819417927878456,-0.028816139360706372,-0.019736842105263164
letor,-0.00981245444204848,-0.004538352323140371,-0.007894736842105288
SIBTMct5,0.01243578379225907,0.013228553705661061,-0.011842105263157987
trialsrun2,0.0461375646192691,0.059425343313774054,0.023684210526315863
BM25neop01r,-0.0026911169139300917,0.0017332258677717483,-0.03289473684210531
cbnuCT1,-0.0015735194389855378,-0.004210434262054696,-0.021052631578947434
top3fusion,-0.014718571236752798,-0.007013147851911927,-0.034210526315789413
cbnuCT2,-0.0007688515336345958,-0.006133202378226843,-0.02105263157894749
BM25ct,-0.009247173880090664,-0.004116492270784866,-0.03289473684210531
noletor,-0.01183584267258242,-0.007790184882635998,-0.011842105263157876
trials1,0.020175335406787398,0.005663579525000628,-0.03947368421052633
SIBTMct1,-0.0013887566656594075,0.0021311605199696715,-0.035526315789473795
cbnuCT3,0.008997467596899233,0.01725405456967405,0.0026315789473684292
ft,-0.013187917345001132,-0.008746269699434706,-0.009210526315789447
egnd,0.06086875871643149,0.0601985872678856,0.03552631578947363
tk1allfuzzy,0.029090031502112923,0.01681670034423885,0.023684210526315835
simple,-0.005011115183836012,-0.002901092038141373,-0.003947368421052644
50,-0.003297011861801924,-0.00837453985797032,-0.0052631578947367474
jlctgenes,-0.017737207990649817,-0.01851823950655279,-0.026315789473684126
BM25solid01o,-0.019278062990546352,-0.012228989630870046,-0.055263157894736736
SIBTMct3,0.013605188843523464,0.015674746287378527,-0.021052631578947434
BM25+d-gm,0.007652891743882451,0.0014268714851009001,-0.0026315789473684015
BM25+d+gm,-0.007688253822896812,-0.007429173988661664,-0.0013157894736842146
BM25-d-gm,0.007634876997589857,0.009712076899303312,0.0
BM25-d+gm,-0.0020593344166046634,0.0021121844898819853,-0.003947368421052699
