,ndcg@1000,map@1000,precision@20
jlctltrin,0.05388722122502265,0.04396885949542273,0.048684210526315774
agg,-0.016330266233845703,-0.03407276699578943,-0.06578947368421056
f,-0.015178456010256192,-0.02259286347919448,-0.03552631578947363
jlctphrase,-0.0138554958443039,-0.04588479382298716,-0.08684210526315794
tk3nodemogr,0.014599837582260244,0.001534145887486238,-0.02631578947368421
Cli1,-0.027208147209838218,-0.0588382535387717,-0.06842105263157894
SIBTMct2,-0.027632637882581357,-0.03342938383555244,-0.05789473684210533
ngnd,0.05768781530744482,0.04592866864621667,0.10131578947368422
1,0.058827461024018424,0.05026739637081787,0.10394736842105265
rr,-0.02131512609438757,-0.0417568488276821,-0.06842105263157883
run3,-0.004264984725358967,-0.0062256106932204736,-0.018421052631579005
jlctletor,0.06292185130568362,0.06725010696337749,0.08157894736842103
tk1allbinary,0.027060637956650813,0.01089492018647173,-0.014473684210526333
cbnuCT4,-0.026141869512437133,-0.04988462627546919,-0.04999999999999999
Cli2,-0.03446937686324503,-0.0647748162579358,-0.07631578947368423
SIBTMct4,-0.026310503528855944,-0.034148392201664546,-0.07500000000000001
61,-0.03401011175537727,-0.054911803569955175,-0.06184210526315792
bc,-0.040520117187275606,-0.05821830159175345,-0.07763157894736838
jlctprec,-0.014006786010649641,-0.04479475420218376,-0.08684210526315789
tk3onlygnds,0.029849968163789264,0.0318483170427951,0.03421052631578944
trials2,-0.020324681825205415,-0.07340364492612445,-0.13815789473684192
run5,-0.012163774381988235,-0.012091633747111169,-0.010526315789473717
BM25solid01r,-0.04162709356193828,-0.07353869320912626,-0.09342105263157896
run4,-0.0076882334421694565,-0.006107922682466849,-0.017105263157894735
100,-0.009192017030627497,-0.014876799124915158,-0.06842105263157888
eged,0.07246696701478206,0.055361933139977906,0.11052631578947367
trialsrun1,-0.017816160369892198,-0.032129761801352075,-0.023684210526315752
base,-0.019289160481263612,-0.03620698438047937,-0.05789473684210528
tk3allfuzzy,0.01996244484435289,0.003452125741507217,-0.01973684210526319
2,0.07481728880468846,0.06161725340468395,0.10526315789473684
25,-0.0399525445699449,-0.060711888783000934,-0.06842105263157894
letor,-0.029325306638403492,-0.048669664263819135,-0.07236842105263147
SIBTMct5,-0.018244995260458197,-0.021998993863804828,-0.05394736842105269
trialsrun2,-0.013310976179184697,-0.02424834612195237,-0.022368421052631537
BM25neop01r,-0.03918672195349393,-0.06915259387209055,-0.08947368421052626
cbnuCT1,-0.023523865232755403,-0.050423234444160914,-0.0644736842105263
top3fusion,-0.05342082434034601,-0.08471149077308515,-0.11447368421052617
cbnuCT2,-0.025718885377783773,-0.05344847035204314,-0.06315789473684214
BM25ct,-0.05014397407350246,-0.08067590433110361,-0.0973684210526316
noletor,-0.038583990425867964,-0.05753936283093408,-0.0789473684210526
trials1,-0.014927542493917034,-0.06874051722213631,-0.13552631578947366
SIBTMct1,-0.02211970503105437,-0.023358379522964545,-0.06052631578947376
cbnuCT3,-0.028023239008025613,-0.048814709236612186,-0.04078947368421049
ft,-0.010102084275011358,-0.02793185421616018,-0.05263157894736842
egnd,0.022505664516311807,0.014139135273640496,-0.0013157894736842701
tk1allfuzzy,0.018039006955784143,0.000709458847139105,-0.023684210526315808
simple,-0.04229510659097685,-0.0590375358921264,-0.06842105263157894
50,-0.008823263582169116,-0.011786841679475302,-0.044736842105263186
jlctgenes,-0.03516604371335297,-0.07811559458606748,-0.08421052631578929
BM25solid01o,-0.054487873727638414,-0.08512773539444463,-0.10789473684210515
SIBTMct3,-0.02147465131686438,-0.02346417125607353,-0.06184210526315792
BM25+d-gm,-0.01953393389185354,-0.02101142705472661,-0.05789473684210525
BM25+d+gm,-0.025604865760885165,-0.017433281431944517,-0.06578947368421054
BM25-d-gm,-0.028313684521671767,-0.043844206587592666,-0.07236842105263153
BM25-d+gm,-0.029552622413339946,-0.048528924500343185,-0.0644736842105263
