,ndcg@1000,map@1000,precision@20
tier1st,0.00352746496675449,0.007639789812389164,-0.016129032258064613
baseline,-0.032444055486675505,-0.04282168510569867,-0.03548387096774197
2,0.02188686506058954,0.018442890053020453,0.0064516129032258784
dgt,0.010345419199338013,0.02254828274990628,0.03870967741935483
strDFR,-0.002297028235691667,-0.01108598996002752,-0.032258064516129004
infndcg,0.010987671496957563,0.004936579784932393,0.02580645161290318
bm25,0.004805190115231506,0.001377587576976258,0.0048387096774193394
synonyms,0.04521107010319908,0.05031199876456899,0.12096774193548393
run4,0.025279054843752702,0.04934066664428072,0.06451612903225812
p10,0.014042191284313832,0.029727263012898353,0.04354838709677422
secL2R,0.005183945311632299,0.0057957622793539665,-0.029032258064516148
CincyMedIR28dgt,0.11047473982098951,0.08913287844613017,0.1725806451612903
sRRa,-0.010242444611867074,-0.018850024274351673,-0.041935483870967794
monoT5,0.024854342312674582,0.014359930433322343,-0.0048387096774194505
run1,0.11402776762003625,0.139425508827547,0.19677419354838704
uwpr,0.03567219247630393,0.054937552700168535,0.02580645161290329
run0,0.0750115802926059,0.10381592345648352,0.13709677419354838
uwrn,0.03208632136657463,0.061851408337638525,0.0532258064516129
duoT5rct,0.03119421812366041,0.04165506545707187,0.029032258064516203
rrf,-0.007033615450925956,-0.026738977392927965,-0.012903225806451701
rRRa,0.0023234237590873397,-0.0027550818889378603,-0.02741935483870961
CornellTech2,0.05766499985087299,0.03269297538206761,0.13870967741935478
PA1run,0.04621426901860082,0.05945778796993112,0.04032258064516131
pozbaseline,-0.0006048176944000172,0.0027313651600596733,-0.011290322580645218
damoespcbh1,0.003887968808872433,-0.008287367602364926,0.001612903225806317
uwman,0.02001517894987792,0.03948996414870759,0.003225806451612856
uwr,0.02691071366532405,0.038697485442655555,0.011290322580645107
damoespcbh3,0.01275734405590867,-0.0042076981740943875,-0.00967741935483879
ens,0.002818775321108302,0.02146487778905376,-0.0016129032258063725
4,0.02214134362969103,0.018728638671801343,0.006451612903225823
nnrun1,-0.008484450140564315,-0.02183719643296239,-0.01451612903225813
nnrun2,-0.015930763062052877,-0.02736938442483622,-0.014516129032257963
damoespcbh2,0.00974032554418014,-0.0043589394311019936,-0.006451612903225767
df5,-0.006909367823611068,-0.010124595731146047,-0.03064516129032252
DFRee,-0.010075618539757747,-0.010035074637283758,-0.045161290322580594
dfr0,0.05925303210332494,0.08227749369351484,0.08387096774193553
CornellTech1,0.06102864609312172,0.035076733009001576,0.14677419354838706
nnrun3,0.02070633957461432,0.004904398193592174,0.014516129032257963
r1st,0.006687653448443465,-0.003530544919484846,-0.006451612903225823
28,0.09724760442126532,0.07747147811169892,0.17580645161290323
1,0.020677808053858215,0.014659185619578588,0.003225806451612967
t,0.005300857214454002,-0.004200197043869536,-0.0048387096774193394
monoT5rct,0.0719712037236857,0.074302505771422,0.06129032258064515
ebm,0.013411789563468113,0.032159563083381026,0.022580645161290325
3,0.013388677284301764,0.008720753042210705,-0.00967741935483879
uwbm25,0.02291905662408067,0.018799730698158046,-0.014516129032258074
dfr5,0.0026628884350927695,0.00033844577856917413,-0.04999999999999999
run5,0.034010023473613926,0.06072473568187439,0.06451612903225817
damoespb2,-0.0033255712902197088,-0.01298114618575219,0.004838709677419506
rprec,0.00975261855019216,0.0035398962541169365,0.016129032258064557
monoT5e1,0.10760599135445142,0.1037766012892245,0.13709677419354843
pozreranked,-0.0031189243194622573,-0.011249404958187825,0.011290322580645218
run2,-0.007177972587956827,-0.007546964940012613,-0.006451612903226045
20,0.09337338034804897,0.06508494909110883,0.1919354838709677
duoT5,0.01594275198937889,0.006481078958662845,-0.017741935483870985
rlxRR,0.010256354309230664,0.00024182656489019072,-0.0048387096774193394
strRR,-0.009873780848744795,-0.023498598319144914,-0.048387096774193505
run3,0.02039209803425901,0.043748811733797355,0.032258064516129115
pozadditional,0.07198638378531153,0.08715079229010442,0.07903225806451614
damoespb1,0.01461796699355733,0.005878994703030771,0.024193548387096753
BM25-base,0.042362442376017995,0.05178519206087476,-0.012903225806451646
